,action,prob,state
24,53,0.0233085459691634,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
25,2,0.015466091326933521,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
26,34,0.005098004489793698,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
27,17,0.003302344554787139,"hand0:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(1.0, 6.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)'] hand1:['(0.0, 2.0)', '(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 5.0)', '(5.0, 5.0)', '(6.0, 6.0)'] history:[]"
28,17,0.336085186689908,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
29,11,0.23515124419599123,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
30,72,0.16210007591880382,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
31,37,0.11181263743504569,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
32,14,0.1088926929189623,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
33,53,0.03573272382037294,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
34,31,0.010225439020915996,"hand0:['(0.0, 4.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(3.0, 4.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(1.0, 6.0)', '(2.0, 5.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(6.0, 6.0)'] history:[]"
35,70,0.6787903618075564,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
36,62,0.26285106570224104,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
37,51,0.03936636133925139,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
38,59,0.008545524448555896,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
39,14,0.004076563757228079,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
40,39,0.003469943403445481,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
41,8,0.002900179541721717,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 6.0)', '(4.0, 4.0)', '(5.0, 5.0)'] hand1:['(0.0, 4.0)', '(0.0, 6.0)', '(1.0, 1.0)', '(2.0, 2.0)', '(2.0, 5.0)', '(5.0, 6.0)', '(6.0, 6.0)'] history:[]"
42,70,0.8754028690734521,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
43,0,0.0903230325136728,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
44,64,0.019443881941882,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
45,22,0.004379951780342682,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
46,42,0.003944438270915567,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
47,53,0.003905770761424316,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
48,8,0.002600055658310483,"hand0:['(0.0, 0.0)', '(0.0, 3.0)', '(1.0, 2.0)', '(2.0, 4.0)', '(3.0, 4.0)', '(4.0, 5.0)', '(5.0, 5.0)'] hand1:['(0.0, 1.0)', '(0.0, 6.0)', '(1.0, 5.0)', '(2.0, 3.0)', '(3.0, 3.0)', '(3.0, 5.0)', '(6.0, 6.0)'] history:[]"
49,75,0.8579470916030438,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
50,59,0.06680293664897302,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
51,64,0.03544982032587114,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
52,48,0.020752392241347468,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
53,45,0.011497626686996016,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
