,Iteration,Rewards
278,279,[ 2.508 -4.146]
279,280,[ 3.47  -2.932]
280,281,[ 2.723 -1.978]
281,282,[ 2.528 -2.522]
282,283,[ 3.015 -2.66 ]
283,284,[ 2.966 -3.443]
284,285,[ 3.357 -3.354]
285,286,[ 3.304 -3.959]
286,287,[ 3.396 -3.366]
287,288,[ 3.593 -2.572]
288,289,[ 2.991 -3.188]
289,290,[ 3.438 -3.506]
290,291,[ 3.116 -2.967]
291,292,[ 2.987 -3.677]
292,293,[ 2.521 -3.246]
293,294,[ 3.097 -2.131]
294,295,[ 2.987 -2.919]
295,296,[ 2.824 -2.906]
296,297,[ 4.229 -4.265]
297,298,[ 2.151 -3.183]
298,299,[ 3.606 -3.607]
299,300,[ 2.541 -3.609]
